Count,lambda,t,A,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60
0,12,1.1,1.1,-0.551552588,-0.551275213,-0.547680169,-0.543548925,-0.539156526,-0.534422404,-0.52938515,-0.523961328,-0.518244119,-0.512118686,-0.505637218,-0.498763717,-0.491550199,-0.483970711,-0.476077342,-0.467888322,-0.45942612,-0.450673148,-0.44162193,-0.432483333,-0.423325397,-0.414189394,-0.405072831,-0.395965278,-0.387020865,-0.378283443,-0.369681462,-0.361173085,-0.352903856,-0.344786401,0.814216667,1.679333333,2.5945,3.5655,4.596166667,5.690833333,6.854,8.09,9.402833333,10.79683333,12.2755,13.84183333,15.49833333,17.24666667,19.08666667,21.01666667,23.03833333,25.13666667,27.20666667,29.31833333,31.47333333,33.67166667,35.83333333,38.00166667,40.18333333,42.36,44.46666667,46.57666667,48.66333333,50.71833333
4,21,2.1,2.1,-0.542693191,-0.549447409,-0.547212344,-0.543737646,-0.540026672,-0.536297237,-0.532240065,-0.527959038,-0.523378135,-0.518651172,-0.513612747,-0.508301318,-0.502723696,-0.496875085,-0.490767082,-0.484402905,-0.477795831,-0.470979521,-0.463762158,-0.456269943,-0.448666546,-0.441003983,-0.433334714,-0.425507005,-0.417673054,-0.409920504,-0.402293173,-0.39464553,-0.387060755,-0.379611404,0.8548,1.761619048,2.708666667,3.704,4.750571429,5.851428571,7.01,8.229428571,9.513142857,10.8647619,12.28666667,13.78190476,15.35333333,17.00285714,18.73238095,20.54285714,22.43619048,24.40857143,26.38857143,28.37047619,30.39904762,32.46761905,34.57333333,36.64380952,38.74285714,40.84285714,42.96095238,45.04190476,47.14095238,49.19809524
5,2,0.2,0.2,-0.56304956,-0.559652278,-0.555940446,-0.5519998,-0.547827477,-0.543404397,-0.538806396,-0.533866334,-0.528739589,-0.523348326,-0.517737392,-0.511778426,-0.505643983,-0.499221707,-0.492562479,-0.485666083,-0.478599153,-0.471293673,-0.463853076,-0.456013196,-0.447751178,-0.439521149,-0.431421371,-0.423439257,-0.415521791,-0.407678111,-0.399959273,-0.392477418,-0.385186845,-0.378007732,0.95679,1.959,3.0092,4.1105,5.2657,6.4779,7.7501,9.0854,10.487,11.957,13.498,15.114,16.805,18.573,20.42,22.345,24.349,26.43,28.587,30.726,32.74,34.761,36.744,38.779,40.867,43.008,45.185,47.355,49.539,51.747
6,21,2.1,0.2,0.052158171,0.054969284,0.056700213,0.05797205,0.059020766,0.059898397,0.060612245,0.061214286,0.061724868,0.062152381,0.062502165,0.062801587,0.063044912,0.063228791,0.063432599,0.063511905,0.063588997,0.063544974,0.063358396,0.062812515,0.061723356,0.06030042,0.058918516,0.057574796,0.056564964,0.055781416,0.055093115,0.054591837,0.054187192,0.05393822,4.480857143,8.954571429,13.39428571,17.80095238,22.17238095,26.50571429,30.80095238,35.05714286,39.27238095,43.44761905,47.58285714,51.67714286,55.73142857,59.74666667,63.72095238,67.65238095,71.46571429,75.16380952,78.67142857,81.75904762,84.21142857,86.07142857,87.49428571,88.64952381,89.76,90.83428571,91.86761905,92.86857143,93.83238095,94.76190476
7,21,0.2,2.1,-0.404930356,-0.516227808,-0.580140438,-0.60927434,-0.624668333,-0.63719259,-0.648853086,-0.660283773,-0.671096064,-0.683013308,-0.693142166,-0.701306206,-0.708860297,-0.716327085,-0.724595675,-0.735117801,-0.749228184,-0.769118036,-0.788160401,-0.779395238,-0.753120181,-0.723714286,-0.695333333,-0.668429824,-0.643219048,-0.619637363,-0.597544974,-0.576870748,-0.557527094,-0.539396825,0.000581686,0.001691905,0.002995524,0.004307429,0.005636857,0.007066095,0.008783238,0.010677143,0.012851429,0.015150476,0.01812,0.021725714,0.026250476,0.032166667,0.040339048,0.052619048,0.073833333,0.121238095,0.268695238,0.566247619,0.904628571,1.247428571,1.588571429,1.927333333,2.263238095,2.596,2.925714286,3.252095238,3.575333333,3.895238095
8,21,0.2,0.2,-0.155459223,-0.076,-0.047903241,-0.035025477,-0.027028571,-0.021492063,-0.01752381,-0.014545887,-0.012242091,-0.010389487,-0.008873691,-0.007618443,-0.006556296,-0.005653061,-0.004869841,-0.004166667,-0.003585434,-0.003068783,-0.002606516,-0.002142857,-0.001677852,-0.001471734,-0.001324997,-0.001190429,-0.001066626,-0.000989011,-0.000881834,-0.000748299,-0.000656814,-0.000539683,0.349914286,0.771095238,1.187809524,1.6,2.007809524,2.411333333,2.81047619,3.205428571,3.596190476,3.982761905,4.365333333,4.743904762,5.118571429,5.489238095,5.856190476,6.219238095,6.578666667,6.934380952,7.286380952,7.632952381,7.972,8.131047619,8.221619048,8.31152381,8.399904762,8.486857143,8.572571429,8.656952381,8.74,8.821904762
9,11,2.1,1.5,-0.45092761,-0.449718182,-0.446863446,-0.443931818,-0.44096149,-0.437965937,-0.434991557,-0.431853822,-0.428805204,-0.425750136,-0.422528926,-0.419348485,-0.41619807,-0.412949734,-0.409711445,-0.406217322,-0.40265269,-0.399040598,-0.395589361,-0.39223616,-0.388923716,-0.385571074,-0.382165584,-0.378816667,-0.375517894,-0.372231937,-0.368956692,-0.365552165,-0.362199937,-0.358936144,2.568727273,5.185454545,7.842181818,10.54181818,13.28436364,16.07018182,18.89818182,21.77090909,24.68545455,27.64363636,30.64545455,33.68909091,36.77454545,39.90363636,43.06,46.07090909,48.97636364,51.84727273,54.74545455,57.64909091,60.52909091,63.30181818,65.96545455,68.62181818,71.24909091,73.83090909,76.36727273,78.75454545,81.04181818,83.31454545
11,11,0.8,2.1,-0.564498346,-0.58978979,-0.594583131,-0.594846392,-0.594829467,-0.595151515,-0.595542973,-0.596,-0.596416089,-0.596818182,-0.597256198,-0.597591274,-0.598042232,-0.598558442,-0.598993939,-0.599431818,-0.599860963,-0.600343434,-0.600755981,-0.601227273,-0.601679654,-0.60207438,-0.602529644,-0.602984848,-0.603403636,-0.603845885,-0.604296007,-0.604681514,-0.605109398,-0.605551179,0.061870909,0.126814545,0.192145455,0.258927273,0.327254545,0.397145455,0.468672727,0.541909091,0.616945455,0.693872727,0.772781818,0.853781818,0.936945455,1.022436364,1.110327273,1.200781818,1.293927273,1.389927273,1.488909091,1.591090909,1.696618182,1.805709091,1.918545455,2.035454545,2.156545455,2.282363636,2.412909091,2.548545455,2.689818182,2.836909091
12,11,1.6,0.2,0.070454545,0.072281818,0.073678788,0.074927273,0.076072727,0.077060606,0.077974026,0.078818182,0.079555556,0.080236364,0.080842975,0.081378788,0.081874126,0.082311688,0.08270303,0.082897727,0.082673797,0.082131313,0.081244019,0.080036364,0.078484848,0.07685124,0.07544664,0.074363636,0.073723636,0.073426573,0.073198653,0.072922078,0.072727273,0.072606061,6.493272727,12.95709091,19.38,25.76,32.09454545,38.38363636,44.62363636,50.81272727,56.95090909,63.03818182,69.07272727,75.05454545,80.98363636,86.86,92.68181818,98.32545455,103.6418182,108.5763636,112.9309091,116.8781818,120.3563636,123.52,126.2272727,128.6381818,130.6927273,132.6418182,134.3472727,135.8272727,137.2272727,138.5618182
13,21,1.1,1.6,-0.597322457,-0.611036981,-0.612161991,-0.610017378,-0.60687619,-0.603015873,-0.598272109,-0.592327381,-0.584941264,-0.57579198,-0.564806477,-0.551865079,-0.537304029,-0.521333333,-0.504349206,-0.486826597,-0.469136646,-0.451595323,-0.434487944,-0.417948474,-0.402095333,-0.387025412,-0.372666667,-0.359141236,-0.346337003,-0.334200308,-0.322586335,-0.311619838,-0.301257841,-0.291533065,0.253695238,0.54212381,0.863752381,1.227142857,1.641238095,2.116095238,2.663809524,3.298285714,4.034952381,4.888761905,5.87247619,6.994190476,8.252,9.637142857,11.13428571,12.72190476,14.38190476,16.09428571,17.8447619,19.62,21.38761905,23.12761905,24.85714286,26.56666667,28.21428571,29.83333333,31.39333333,32.86952381,34.30190476,35.68761905
